radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,222,10,11042,10759375,171,7.8024080,45.2294430,0,1,1,1591720314,1591720314,
UMTS,222,10,11042,10794561,170,7.6568773,45.2102437,18,2,1,1594796774,1594796774,
UMTS,222,10,11042,10805591,226,7.7261826,45.1308235,35,2,1,1582079261,1582079261,
UMTS,222,10,11042,10805702,268,7.7250990,45.1302830,0,1,1,1582079261,1582079261,
UMTS,222,10,11042,27188581,76,7.6848428,45.1000619,15,2,1,1582079265,1582079265,
UMTS,222,10,11046,26493871,278,7.3993240,44.5637860,0,1,1,1596118666,1596118666,
UMTS,222,10,11046,26525292,444,7.4378090,44.2826610,0,1,1,1594312087,1594312087,
UMTS,222,10,11046,26607943,164,7.1340922,44.9960029,20,2,1,1597216266,1597216266,
UMTS,222,10,11066,6560682,241,8.5649130,44.9473050,0,1,1,1592436551,1592436551,
UMTS,222,10,11066,8983834,60,8.6558512,44.6187815,73,3,1,1533841056,1582130875,
UMTS,222,10,11066,9028911,102,8.5652647,44.9467747,65,2,1,1592436551,1592436551,
UMTS,222,10,11067,6560683,242,7.9491690,45.5625230,0,1,1,1597087418,1597087418,
UMTS,222,10,11067,6584231,320,8.4160630,45.5625140,0,1,1,1582079259,1582079259,
UMTS,222,10,11067,6595253,236,8.2738450,45.6338061,288,6,1,1592632115,1592632115,
UMTS,222,10,11067,6602081,290,8.7031270,45.5828810,0,1,1,1593835538,1593835538,
UMTS,222,10,11067,12351857,128,8.0601504,45.4961780,3434,3,1,1576848588,1580855335,
UMTS,222,10,11067,26235717,137,8.7432160,45.8408230,0,1,1,1583674145,1583674145,
UMTS,222,10,11068,6572632,32,8.0084455,45.3838339,33,3,1,1593628931,1593628931,
UMTS,222,10,11068,6596951,391,8.0882234,45.3761498,53,2,1,1592436545,1592436545,
UMTS,222,10,11069,6566843,26,7.8759940,45.8753490,0,1,1,1583134968,1583134968,
UMTS,222,10,11070,6567757,439,8.0731443,45.4230437,16,2,1,1596655017,1596655017,
UMTS,222,10,11070,10794561,170,7.6616407,45.2073535,36,3,1,1594796774,1594796774,
